text,label
"Congratulations! You have won a cash prize of Rs.50,000. Click here to claim your reward now.","spam"
"HURRY UP! LIMITED TIME OFFER! Get 90% discount on all electronics. Visit our website today only.","spam"
"Dear customer, your Airtel number will be blocked tonight. Click the link to update your KYC immediately.","spam"
"Your bank account has been suspended due to suspicious activity. Verify your account within 24 hours using this link.","spam"
"WINNER! You have been selected for a free iPhone 15 Pro. Claim your gift within 1 hour. Tap here.","spam"
"Earn Rs.50,000 per month from home. No experience required. Pay Rs.999 registration fee to start today.","spam"
"Your parcel is stuck at the courier office due to unpaid delivery charges. Pay Rs.35 to reschedule delivery now.","spam"
"Get an instant loan of up to Rs.5,00,000 without any documents. Low interest, no CIBIL check. Apply now.","spam"
"Your UPI has been blocked. Click to verify your identity and avoid permanent deactivation.","spam"
"Your OTP is 482913. Do not share this code with anyone.","spam"
"Congratulations! You have won a FREE luxury watch. Pay only the shipping fee of Rs.499.","spam"
"Your Netflix account is suspended. Sign in to update your payment details and continue watching.","spam"
"Buy one get one free on all perfumes this weekend only! Hurry, stock limited. Call 9876543210 now.","spam"
"Dear user, verify your email in 24 hours or your account will be deleted permanently.","spam"
"You have been selected for a fully paid trip to Dubai. Confirm your details at the link to claim.","spam"
"Your card has been blocked due to multiple failed attempts. Contact our support on 1800-000-0000 immediately.","spam"
"Get 100% job guarantee with data entry work. Earn Rs.25,000 per week. Pay Rs.2,000 for training material.","spam"
"Double your money in 30 days with our guaranteed crypto trading signals. Invest now and become a crorepati.","spam"
"Your electricity bill payment has failed. Pay the outstanding amount now or your connection will be cut.","spam"
"DHONI FAN! You have won a signed jersey. Send your address and Rs.200 courier charge to claim.","spam"
"Urgent! Your child's summer camp fee payment failed. Click to pay the balance immediately.","spam"
"Free recharge worth Rs.999 waiting for you! Just complete a 2 minute survey and claim your reward.","spam"
"You are the lucky winner of our mega lucky draw. Call 1800xxx to receive your prize money.","spam"
"Your Instagram account will be disabled unless you confirm your identity at this link right away.","spam"
"Work from home opportunity: type simple documents and earn daily salary. Register with Rs.500 only.","spam"
"Your bank account has been credited with Rs.10,000 as refund. Click here to confirm your details.","spam"
"Last warning! Your SIM card will be deactivated in 2 hours. Verify your details now to continue.","spam"
"Amazing investment opportunity! Guaranteed 5x returns in 6 months. Minimum investment Rs.10,000.","spam"
"Your Flipkart order could not be delivered. Update your address through the link to receive your package.","spam"
"Paytm KYC pending! Your account will be blocked tomorrow. Complete KYC instantly through this link.","spam"
"You won a lunch combo offer! Claim before midnight and pay just Rs.99 for free delivery.","spam"
"Your account has been logged in from a new device. If this was not you, verify your identity immediately.","spam"
"Cancel your subscription today and get a full refund. Call us now before charges are applied.","spam"
"Get Rs.5000 cashback on your next purchase. Redeem before the offer expires in 48 hours.","spam"
"Congratulations! You have been selected for a premium credit card with Rs.5 lakh limit.","spam"
"Your package is awaiting customs clearance. Pay the customs fee of Rs.250 to release it.","spam"
"Secure your account now! Update your PAN and Aadhaar details to avoid penalty.","spam"
"Earn money while you sleep with our passive income program. Join now with just Rs.1,000.","spam"
"Your mother's health insurance claim is approved. Claim the amount through the link below.","spam"
"Valentine special! 70% off on premium membership. Offer ends tonight at midnight. Hurry!","spam"
"Your bank card expiry is today. Renew your card now by clicking this secure link.","spam"
"IRS tax refund pending! You have an unclaimed refund of USD 3400. Verify your details here.","spam"
"Your Zomato order has an extra surprise. Tap here to unlock your welcome gift.","spam"
"Your loan application is approved. Transfer the processing fee of Rs.1,500 to receive your loan amount.","spam"
"Side income opportunity for students. Earn up to Rs.15,000 per month. Registration fee Rs.300.","spam"
"Your mobile has been infected with a virus. Download our security app now to clean it.","spam"
"Click this link to see who viewed your Instagram profile. It is 100% free!","spam"
"Your Facebook account is locked. Log in through this link to reactivate it.","spam"
"Open your parcel now! You have received a free mystery gift. Only courier charges apply.","spam"
"Your gold loan EMI is overdue. Pay now to avoid legal action and penalty charges.","spam"
"Hot singles in your area are waiting to chat. Join our dating site now for free!!","spam"
"You have been shortlisted for a job at Google. Pay Rs.2,500 for the interview slot.","spam"
"Your e-wallet has an unclaimed balance of Rs.2,000. Transfer it now before expiry.","spam"
"Special festival offer! Get Rs.1,000 off on your first online shopping order.","spam"
"Your medicine order is out for delivery. Pay the COD amount through this link to speed delivery.","spam"
"Your electricity board warns: final notice for dues. Settle immediately to avoid disconnection.","spam"
"Cryptocurrency is the future. Invest Rs.5,000 today and get Rs.50,000 in a month!","spam"
"Your office email storage is full. Upgrade by clicking the link before your account is blocked.","spam"
"Win an iPhone every hour! Participate in our free giveaway at the link now.","spam"
"Your Mutual Fund account has been blocked for non-verification. Update KYC to unblock.","spam"
"Your train ticket booking was cancelled. Claim a refund through this link.","spam"
"Fantastic! You have been selected to receive a free cooler. Pay just the handling charges.","spam"
"Your bank will soon stop UPI services for your account. Update your KYC immediately.","spam"
"Your SIM card was used for illegal activity. Call this number immediately to resolve the issue.","spam"
"Earn Rs.200 per hour typing captchas online. No investment needed. Start today, message to apply.","spam"
"Your water bill is due. Failure to pay will result in disconnection. Pay through the link.","spam"
"KYC LINK EXPIRED! Re-verify your Aadhaar with the bank to keep your account active.","spam"
"Your family may be eligible for government subsidy. Claim your amount at this link now.","spam"
"Premium subscription at 50% off for the next 2 hours only. Don't miss out!","spam"
"Your account is at risk of fraud. Call our fraud helpline immediately to protect your funds.","spam"
"Your flight booking is pending confirmation. Pay the nominal fee to confirm your ticket.","spam"
"Win a free vacation in Bali! Only 10 spots remaining. Enter your details at the link.","spam"
"Your gas connection will be suspended. Pay the pending bill right now to avoid inconvenience.","spam"
"Your resume has been selected by a multinational company. Pay Rs.1,000 to register for the interview.","spam"
"Your wallet balance is expiring! Transfer your points to cash before they are lost.","spam"
"Free 6 months of music streaming for you. Activate before the offer closes today.","spam"
"Your Aadhaar has been misused for fraud. Verify your identity by clicking this link urgently.","spam"
"Lucky customer! You have won Rs.25,000 in our weekly draw. Contact us to claim your prize.","spam"
"Hey, are we meeting at 5 PM today at the library?","ham"
"Mom said dinner is ready. Can you come home early?","ham"
"Your order from Amazon has been delivered. Thank you for shopping with us.","ham"
"Dear student, tomorrow's class is postponed to 3 PM.","ham"
"Your electricity bill of Rs.1,240 is due on 25th. Please pay on time.","ham"
"Train 12345 from Delhi is delayed by 30 minutes.","ham"
"I am on my way. Will reach in 10 minutes.","ham"
"The project meeting has been rescheduled to Friday at 11 AM.","ham"
"Please find attached the assignment document. Submit it by Monday.","ham"
"Happy birthday! Wishing you a wonderful year ahead.","ham"
"I forgot my lunch box at home. Can you pick it up for me?","ham"
"Your recharge of Rs.299 was successful. New balance: Rs.512.","ham"
"The match starts at 7 PM. Don't forget your ticket.","ham"
"Library books are due for return by Friday.","ham"
"Can you send me the notes from today's chemistry class?","ham"
"Your taxi is arriving in 5 minutes. Please wait at the main gate.","ham"
"Doctor appointment confirmed for Tuesday, 10:00 AM","ham"
"I reached the hostel safely. Will call you later.","ham"
"The wifi password is changed to shield456.","ham"
"Please review chapter 5 before the quiz on Thursday.","ham"
"Office closes early on Friday at 4:30 PM.","ham"
"Your account balance is Rs.45,200.","ham"
"Hey bro, what's the plan for this weekend?","ham"
"I am at the canteen if you want to join for lunch.","ham"
"The teacher said submit the report in a single PDF file.","ham"
"Did you watch the match last night? That goal was amazing!","ham"
"My flight lands at 9:15 PM. Please pick me up.","ham"
"Remember to buy milk and bread on your way home.","ham"
"The payment of Rs.1,500 has been credited to your account.","ham"
"Semester exams start from 1st December. Get your hall tickets.","ham"
"I will share the recording of today's lecture later tonight.","ham"
"Mom asked if you want chicken or paneer for dinner.","ham"
"Your guest wifi access has been revoked due to policy change.","ham"
"The lab is open till 8 PM on weekdays.","ham"
"Sent you the internship offer letter on email. Please check.","ham"
"Thanks for helping with the presentation yesterday.","ham"
"Bus 42 towards city center departs in 5 minutes.","ham"
"Your gym membership renewal for January is due.","ham"
"Are you attending the cultural fest rehearsal at 4?","ham"
"The parcel from your mother arrived. Come collect it from the desk.","ham"
"I am outside the station near the tea stall.","ham"
"Reminder: submit your fee receipts to the accounts office by Friday.","ham"
"Great news! Our team won the inter-college hackathon.","ham"
"The door is locked. Ask the caretaker for the spare key.","ham"
"Your online class link is https://meet.example.com/chem-101","ham"
"Please bring your laptop for the practical session tomorrow.","ham"
"Movie at 8 PM? I will book the tickets.","ham"
"The stock of notebooks is back in the shop near campus.","ham"
"Please confirm your attendance for the workshop by replying yes.","ham"
"I changed the meeting place to the rooftop cafe.","ham"
"Your internship stipend of Rs.8,000 has been transferred.","ham"
"Meet me in the library after the last lecture.","ham"
"Your parking pass expires next month. Renew it at the office.","ham"
"The cricket practice is at 6 AM tomorrow. Don't be late!","ham"
"I received the book you sent. Thanks a lot!","ham"
"Your exam result has been announced. Check the notice board.","ham"
"Mom is visiting next week. Book a cab for her.","ham"
"Can you print 20 copies of the report for the meeting?","ham"
"The WhatsApp group for our project is created. Join it.","ham"
"Your recharge of Rs.99 failed. Please try again.","ham"
"Study group at 5 PM tomorrow in room 204.","ham"
"The bus is delayed due to fog. Wait at the stop.","ham"
"Your spectacles are ready for pickup from the optician.","ham"
"Thanks for the notes. I will return them tomorrow.","ham"
"The hostel mess serves dinner from 7:30 to 9 PM.","ham"
"Your brother called. He will call you back at 8.","ham"
"I submitted the form on your behalf. Check your email.","ham"
"The seminar speaker has changed. New schedule is on the notice.","ham"
"Please bring your ID card for the exam hall entry.","ham"
"Your order from BigBasket is out for delivery.","ham"
"Are you free this Saturday for the trip to the hills?","ham"
"The attendance marking closes at 10 AM. Mark yours.","ham"
"Can you send the group photo from the farewell?","ham"
"Your father wants you to call home after 7.","ham"
"The museum tickets are booked for Saturday morning.","ham"
"Meeting at the dean's office at 2 PM sharp.","ham"
"Your scholarship application has been received.","ham"
"Navratri holidays begin on Tuesday. Classes resume Monday.","ham"
"I have uploaded the assignment to the portal.","ham"
"Your smartwatch order will arrive by Sunday.","ham"
"Thanks for the birthday gift! I loved it.","ham"
"Please water the plants in the lab on Saturday.","ham"
"Your voice note was heard. Reaching home by 8.","ham"
"The cookbook you ordered is available at the bookstore.","ham"
"Semester fee payment last date extended to 30th.","ham"
"My new number is 9876543210. Save it.","ham"
"The group project meeting will be held on Zoom at 6 PM.","ham"
"Your blood donation camp registration is confirmed.","ham"
"Window seat booked for our flight on 21st.","ham"
"I am feeling unwell. Can you attend the lecture and share notes?","ham"
"The canteen has new paneer tikka rolls today.","ham"
"Your electricity recharge of Rs.500 is successful.","ham"
"Meeting got cancelled. Catch you tomorrow.","ham"
"The chess club practice is at the common room at 5.","ham"
"Your parcel from the hostel store has arrived.","ham"
"I forgot my charger. Can I borrow yours in the lab?","ham"
"The coach said no practice today due to rain.","ham"
"Your PAN card application status: approved.","ham"
"Reminder: the viva is scheduled for 24th, 10 AM.","ham"
"Please bring the printed copies of your paper for review.","ham"
"Your friend is waiting at the main gate for you.","ham"
"The annual day rehearsal is tomorrow at 4 PM.","ham"
"Your internship certificate is ready for collection.","ham"
"Dad will drop you to the railway station at 5.","ham"
"The new books arrived at the library today.","ham"
"Can you pick up my parcel from the courier office?","ham"
"The project deadline has been extended by two days.","ham"
"Your mobile number has been updated successfully.","ham"
"Lunch is at 1 PM in the hostel mess today.","ham"
"Your library fine is Rs.10. Please clear it soon.","ham"
"The wifi will be down for maintenance from 2 to 4 PM.","ham"
"Your friend has left a parcel for you at the front desk.","ham"
"Sunday cycling plan? Storm is coming though.","ham"
"Your fee receipt has been emailed to you.","ham"
"Remember to carry an umbrella tomorrow. Heavy rain expected.","ham"
"The coding club workshop is free for members.","ham"
"Your Aadhaar update appointment is on 15th at 11 AM.","ham"
"I am done with the assignment. Sending it now.","ham"
"Your mobile data plan of 1GB/day is active.","ham"
"Guest lecture on AI at the main hall at 3 PM.","ham"
"Your train ticket confirmation is attached.","ham"
"Call me when you reach home safely.","ham"
"Your hostel room cleaning is scheduled for Friday.","ham"
"The demo of our project impressed the panel.","ham"
"Buy 2 tickets for the science exhibition for me too.","ham"
"Your medical certificate has been submitted to the office.","ham"
"Practice match at 8 AM sharp tomorrow.","ham"
"The guest house booking for the seminar is done.","ham"
"Your bank statement for May is available on the app.","ham"
"The notes for today's class are in the shared drive.","ham"
"I will be a little late today. Start without me.","ham"
"Your event pass QR code is attached here.","ham"
"The power cut is from 10 to 12 today. Use the lab early.","ham"
"Your exam hall has been changed to block C.","ham"
"Mom sent the pickle parcel. It is at the post office.","ham"
"Your article has been accepted for the college magazine.","ham"
"Bring the projector remote to the seminar room.","ham"
"The fog is heavy today. Drive carefully.","ham"
"Your laptop repair estimate is Rs.2,500. Confirmed?","ham"
"The terrace garden workshop is on Saturday morning.","ham"
"Your metro card recharge is successful.","ham"
"Study hall 3 is open for night study till 11.","ham"
"I am sending the contract file for your review.","ham"
"Tomorrow is a holiday. Enjoy!","ham"
"The cultural dance practice starts at 5 PM.","ham"
"Your application for the exchange program is shortlisted.","ham"
"Tea at the 3rd floor balcony after class?","ham"
"Your voter ID correction request is processed.","ham"
"The fete committee needs volunteers for Sunday.","ham"
"Your brother's cycle is at the repair shop.","ham"
"The old question papers are in the library archive.","ham"
"Your response to the survey is recorded. Thank you.","ham"
"The play rehearsal has been moved to the auditorium.","ham"
"Your cab fare tonight was Rs.340. Shared with you.","ham"
"Physics practical viva is postponed to next week.","ham"
"Your parcel weight exceeds 5kg. Extra charge Rs.50.","ham"
"The online quiz link will be sent at 8 PM.","ham"
"I left the keys with the guard at the back gate.","ham"
"Your charity donation receipt is attached.","ham"
"The festival celebrations start at the main lawn.","ham"
"Your sports day registration is confirmed.","ham"
"Bring an extra notebook for physics tomorrow.","ham"
"Your friend's wedding is on 12th. Confirm with him.","ham"
"The notes app backup is complete on your phone.","ham"
"Your ID card has been printed. Collect it from the office.","ham"
